平台,✅ 可直接联系,⚠️ 需人工核验,❌ 盲投会尴尬
1,Murtanio,178k,✅,德国摩托赛道 POV onboard 真人创作者，近 60 天更新，17.8w 甜点区，契合运动影像满分，盲投安全。
2,THE SHAIKH 96,79k,⚠️,印度摩托 POV 真人号，昨天刚更，但简介只有一个 gmail 邮箱，语义分偏低，规模定位需确认是否内容质量够品牌台面。
3,Schaaf,217k,⚠️,摩托 RAW onboard 收藏型频道，21.7w 契合度高，但最近更新 2026-02-07 已 150 天停更，需核验是否弃坑。
4,Ridge Lenny,125k,⚠️,夏威夷冲浪职业运动员，内容极契合，但最近更新 181 天前（2026-01），久未更新需核验活性。
5,Ella Berry,64k,⚠️,多项目极限运动女创作者，内容满分契合，但 last_upload 61 天前擦边过线，需确认更新节奏。
6,STR1KEStudioz,32k,❌,内容极契合（新西兰越野摩托 RAW），但简介明列 Insta360 X5 为器材且有 Sponsors 栏，已是影石用户/潜在合作方，发首次合作邀请会尴尬，应先内部查合作库。
7,RevLimits,149k,✅,印度电影感汽车/摩托 POV，昨天刚更，14.9w 甜点区，无叙述纯声音沉浸式，契合，盲投安全。
8,RUSH_ in Tokyo,20k,❌,东京摩托 POV，但简介顶格挂 Insta360 优惠码 INRPUTL + 全套影石器材清单，已是现役影石联盟/带码达人，发首次合作邀请必闹笑话（未被标为正例=正例集有漏）。
9,Surfing With Noz,235k,✅,悉尼冲浪创作者兼教练，23.5w，近 8 天更新，RAW POV 冲浪极契合，盲投安全。
10,Kai Noa,38k,✅,留尼汪/澳洲冲浪创作者，近 11 天更新，POV SURF 系列极契合运动影像，盲投安全。
11,Abe Kislevitz,169k,❌,简介明写 GoPro 员工 + 现任 GoPro 创意总监，竞品在职高管，绝不可发影石合作邀请；且最近更新 365 天前。
12,MOTO WILD,376k,❌,Moto Wild 是摩托事故/警察追逐合集号（compilation/reaction），非原创拍摄者，素材多为搬运他人 POV，盲投=向搬运号发邀请。
13,BRAAAPP - ONLY,13k,✅,摩托 RAW onboard 真人创作者，近 14 天更新，多机型 POV，契合，规模偏小但真实，盲投可接受。
14,Kzrunner,23k,⚠️,Kawasaki POV 夜骑纯声音真人号，近 14 天更新，简介提 Insta360（疑似已用影石），主题命中为空需核验契合与是否已带码。
15,Willy POV,49k,❌,Bodyboarding POV，但最近更新 2021-07-07（1826 天前），频道实质已死，盲投=向僵尸号发邀请。
16,Tina Cohen O'Brien 🟡正例,73k,❌,★已知影石正例（star）★ 夏威夷冲浪，本身是系统的对；但对已合作方发首次合作邀请=尴尬，且最近更新 334 天前（产后停更），双重不宜盲投。
17,CoffeeHouseRiders,20k,⚠️,加州 Royal Enfield 咖啡骑士 POV 真人号，契合，但最近更新 334 天前久未更新，需核验是否回归。
18,The Rice Rocketeer,5k,✅,纽约 Motovlog POV 真人叙事号，今天刚更，虽仅 5.7k 订阅偏小但成长性叙事清晰，甜点分低但真实契合，盲投可接受。
19,Scrambler POV,83k,✅,无对白第一视角摩托叙事，8.4w，近 9 天更新，主题命中密集，契合运动影像，盲投安全。
20,Dirk Schouten,462k,✅,保时捷 Carrera Cup 赛车冠军 POV onboard，46.2w，近 14 天更新，赛车运动影像契合，盲投安全。
21,Surf Vibes,33k,⚠️,巴西冲浪 POV，今天刚更，内容契合，但简介极简（葡语一句话）、语义分最低 0.45，需核验频道质量与语言市场是否目标区。
22,威爾森WilsonWKJ,6k,⚠️,台湾排球/冲浪 POV 运动摄影爱好者，内容契合，但最近更新 365 天前、明说更新极慢，需核验是否还活跃。
